candidato,dia,color,media,ic_025,ic_975,fecha,mediatt,ic_025tt,ic_975tt
PRI,40,#EB0E0E,22.279360108747444,21.06101146869733,23.372955327127602,2021-04-30,22,21.1,23.4
PRI,41,#EB0E0E,22.480494999037244,21.25868832083759,23.577624664647615,2021-05-01,22,21.3,23.6
PRI,42,#EB0E0E,22.671445057798696,21.646186337922803,23.75499115644977,2021-05-02,23,21.6,23.8
PRI,43,#EB0E0E,22.350787281254384,21.330693259759475,23.380671967290773,2021-05-03,22,21.3,23.4
PRI,44,#EB0E0E,21.437752742293924,20.251291386080712,22.75026474825855,2021-05-04,21,20.3,22.8
PRI,45,#EB0E0E,20.730839482190326,19.38858852750687,22.020055309850214,2021-05-05,21,19.4,22
PRI,46,#EB0E0E,20.160623740391898,18.96711989300584,21.336435070215536,2021-05-06,20,19,21.3
PRI,47,#EB0E0E,19.576215917437406,18.655727961686093,20.40076551336928,2021-05-07,20,18.7,20.4
PRI,48,#EB0E0E,20.485091376891177,19.327164300413564,21.376166485817578,2021-05-08,20,19.3,21.4
PRI,49,#EB0E0E,20.136635218347095,18.86826553982971,21.09462613866771,2021-05-09,20,18.9,21.1
PRI,50,#EB0E0E,19.14199520734252,18.426598087015293,19.86717619010663,2021-05-10,19,18.4,19.9
PRI,51,#EB0E0E,20.630469943853335,19.553210808608736,21.544489971534393,2021-05-11,21,19.6,21.5
PRI,52,#EB0E0E,21.932056715096085,20.73160447816979,23.143154750437724,2021-05-12,22,20.7,23.1
PRI,53,#EB0E0E,22.453492517715514,21.14903462756301,23.57581281075548,2021-05-13,22,21.1,23.6
PRI,54,#EB0E0E,22.556375650651024,21.401134815450582,24.062992000011224,2021-05-14,23,21.4,24.1
PRI,55,#EB0E0E,22.82610011752166,21.232763287937946,24.377673190387668,2021-05-15,23,21.2,24.4
PRI,56,#EB0E0E,23.24659038956479,21.86960753895739,24.42824846879991,2021-05-16,23,21.9,24.4
PRI,57,#EB0E0E,23.789368002125133,22.466352241601346,25.030985976645027,2021-05-17,24,22.5,25
PRI,58,#EB0E0E,24.33543775172057,23.02100217987622,25.53108669142798,2021-05-18,24,23,25.5
PRI,59,#EB0E0E,24.91384017050204,23.863810049452365,26.062988484957888,2021-05-19,25,23.9,26.1
PRI,60,#EB0E0E,25.53754108575974,24.46543285229062,26.83665977045473,2021-05-20,26,24.5,26.8
PRI,61,#EB0E0E,25.57523594536772,24.304962363394523,26.98554678834098,2021-05-21,26,24.3,27
PRI,62,#EB0E0E,25.650601854576777,24.20429442961887,27.063321985892458,2021-05-22,26,24.2,27.1
PRI,63,#EB0E0E,25.689444714578503,24.155856700066852,27.17365171072567,2021-05-23,26,24.2,27.2
PRI,64,#EB0E0E,26.096040608630545,24.09915293696177,28.29921630810946,2021-05-24,26,24.1,28.3
PRI,65,#EB0E0E,26.444823482647777,24.46717293464452,28.149911766685626,2021-05-25,26,24.5,28.1
PRI,66,#EB0E0E,26.444252881971074,24.680732395905988,27.929610506400337,2021-05-26,26,24.7,27.9
PRI,67,#EB0E0E,26.55773616130902,24.97995543858536,28.13620126528919,2021-05-27,27,25,28.1
PRI,68,#EB0E0E,26.940218911465376,25.31263378107955,28.53811535011028,2021-05-28,27,25.3,28.5
PRI,69,#EB0E0E,27.406243043490502,25.2334552142296,29.47748303890671,2021-05-29,27,25.2,29.5
PRI,70,#EB0E0E,27.397444823325824,25.12482618719984,29.54288776926643,2021-05-30,27,25.1,29.5
PRI,71,#EB0E0E,27.372194743198026,24.805460793117863,29.860038133342385,2021-05-31,27,24.8,29.9
PRI,72,#EB0E0E,27.376765475598287,24.606776005505633,30.146601428919993,2021-06-01,27,24.6,30.1
PRI,73,#EB0E0E,27.389771979029025,24.32164963180902,30.645886116548187,2021-06-02,27,24.3,30.6
PRI,74,#EB0E0E,27.388014366503338,24.163035665019734,30.777855017893092,2021-06-03,27,24.2,30.8
PRI,75,#EB0E0E,27.413731168880563,23.811574655798516,30.92574979848837,2021-06-04,27,23.8,30.9
PRI,76,#EB0E0E,27.39769213720965,23.60066772204666,31.17413237783233,2021-06-05,27,23.6,31.2
PRI,77,#EB0E0E,27.382204064897444,23.34363114350931,31.256155023139094,2021-06-06,27,23.3,31.3
